"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Yom Kippur","4/10/2014",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","8/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/10/2014",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/10/2014",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","11/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","12/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","13/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","14/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","15/10/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","16/10/2014",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","17/10/2014",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Parashat Bereshit","18/10/2014",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","24/10/2014",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Noach","25/10/2014",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","25/10/2014",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Lech-Lecha","1/11/2014",,,,"true","","3","Jewish Holidays"
"Parashat Vayera","8/11/2014",,,,"true","","3","Jewish Holidays"
"Parashat Chayei Sara","15/11/2014",,,,"true","","3","Jewish Holidays"
"Parashat Toldot","22/11/2014",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Kislev","23/11/2014",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Parashat Vayetzei","29/11/2014",,,,"true","","3","Jewish Holidays"
"Parashat Vayishlach","6/12/2014",,,,"true","","3","Jewish Holidays"
"Parashat Vayeshev","13/12/2014",,,,"true","","3","Jewish Holidays"
"Chanukah: 1 Candle","16/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","17/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","18/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","19/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Miketz","20/12/2014",,,,"true","","3","Jewish Holidays"
"Chanukah: 5 Candles","20/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","21/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","22/12/2014",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","22/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","23/12/2014",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","23/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","24/12/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Vayigash","27/12/2014",,,,"true","","3","Jewish Holidays"
"Asara B'Tevet","1/1/2015",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Parashat Vayechi","3/1/2015",,,,"true","","3","Jewish Holidays"
"Parashat Shemot","10/1/2015",,,,"true","","3","Jewish Holidays"
"Parashat Vaera","17/1/2015",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","21/1/2015",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Parashat Bo","24/1/2015",,,,"true","","3","Jewish Holidays"
"Parashat Beshalach","31/1/2015",,,,"true","","3","Jewish Holidays"
"Tu BiShvat","4/2/2015",,,,"true","New Year for Trees","3","Jewish Holidays"
"Parashat Yitro","7/2/2015",,,,"true","","3","Jewish Holidays"
"Parashat Mishpatim","14/2/2015",,,,"true","","3","Jewish Holidays"
"Shabbat Shekalim","14/2/2015",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","19/2/2015",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","20/2/2015",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Parashat Terumah","21/2/2015",,,,"true","","3","Jewish Holidays"
"Parashat Tetzaveh","28/2/2015",,,,"true","","3","Jewish Holidays"
"Shabbat Zachor","28/2/2015",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","4/3/2015",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","4/3/2015",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","5/3/2015",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","6/3/2015",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Parashat Ki Tisa","7/3/2015",,,,"true","","3","Jewish Holidays"
"Parashat Vayakhel-Pekudei","14/3/2015",,,,"true","","3","Jewish Holidays"
"Shabbat Parah","14/3/2015",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Parashat Vayikra","21/3/2015",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Nisan","21/3/2015",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaChodesh","21/3/2015",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Parashat Tzav","28/3/2015",,,,"true","","3","Jewish Holidays"
"Shabbat HaGadol","28/3/2015",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","3/4/2015",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","3/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","5/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","6/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","7/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","8/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","9/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","10/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","11/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","16/4/2015",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Parashat Shmini","18/4/2015",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Iyyar","19/4/2015",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","20/4/2015",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","22/4/2015",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","23/4/2015",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Parashat Tazria-Metzora","25/4/2015",,,,"true","","3","Jewish Holidays"
"Parashat Achrei Mot-Kedoshim","2/5/2015",,,,"true","","3","Jewish Holidays"
"Pesach Sheni","3/5/2015",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","7/5/2015",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Parashat Emor","9/5/2015",,,,"true","","3","Jewish Holidays"
"Parashat Behar-Bechukotai","16/5/2015",,,,"true","","3","Jewish Holidays"
"Yom Yerushalayim","17/5/2015",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","19/5/2015",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Parashat Bamidbar","23/5/2015",,,,"true","","3","Jewish Holidays"
"Erev Shavuot","23/5/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","24/5/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","25/5/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Parashat Nasso","30/5/2015",,,,"true","","3","Jewish Holidays"
"Parashat Beha'alotcha","6/6/2015",,,,"true","","3","Jewish Holidays"
"Parashat Sh'lach","13/6/2015",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Tamuz","17/6/2015",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","18/6/2015",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Parashat Korach","20/6/2015",,,,"true","","3","Jewish Holidays"
"Parashat Chukat","27/6/2015",,,,"true","","3","Jewish Holidays"
"Parashat Balak","4/7/2015",,,,"true","","3","Jewish Holidays"
"Tzom Tammuz","5/7/2015",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Parashat Pinchas","11/7/2015",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Av","17/7/2015",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Parashat Matot-Masei","18/7/2015",,,,"true","","3","Jewish Holidays"
"Parashat Devarim","25/7/2015",,,,"true","","3","Jewish Holidays"
"Shabbat Chazon","25/7/2015",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","25/7/2015",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","26/7/2015",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Parashat Vaetchanan","1/8/2015",,,,"true","","3","Jewish Holidays"
"Shabbat Nachamu","1/8/2015",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Parashat Eikev","8/8/2015",,,,"true","","3","Jewish Holidays"
"Parashat Re'eh","15/8/2015",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Elul","15/8/2015",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","16/8/2015",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Parashat Shoftim","22/8/2015",,,,"true","","3","Jewish Holidays"
"Parashat Ki Teitzei","29/8/2015",,,,"true","","3","Jewish Holidays"
"Parashat Ki Tavo","5/9/2015",,,,"true","","3","Jewish Holidays"
"Leil Selichot","5/9/2015",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Parashat Nitzavim","12/9/2015",,,,"true","","3","Jewish Holidays"
"Erev Rosh Hashana","13/9/2015",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5776","14/9/2015",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","15/9/2015",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","16/9/2015",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Parashat Vayeilech","19/9/2015",,,,"true","","3","Jewish Holidays"
"Shabbat Shuva","19/9/2015",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","22/9/2015",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","23/9/2015",,,,"true","Day of Atonement","4","Jewish Holidays"
"Parashat Ha'Azinu","26/9/2015",,,,"true","","3","Jewish Holidays"
"Erev Sukkot","27/9/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","28/9/2015",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","29/9/2015",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","30/9/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","1/10/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","2/10/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","3/10/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","4/10/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","5/10/2015",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","6/10/2015",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Parashat Bereshit","10/10/2015",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","13/10/2015",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","14/10/2015",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Noach","17/10/2015",,,,"true","","3","Jewish Holidays"
"Parashat Lech-Lecha","24/10/2015",,,,"true","","3","Jewish Holidays"
"Parashat Vayera","31/10/2015",,,,"true","","3","Jewish Holidays"
"Parashat Chayei Sara","7/11/2015",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Kislev","12/11/2015",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Rosh Chodesh Kislev","13/11/2015",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Parashat Toldot","14/11/2015",,,,"true","","3","Jewish Holidays"
"Parashat Vayetzei","21/11/2015",,,,"true","","3","Jewish Holidays"
"Parashat Vayishlach","28/11/2015",,,,"true","","3","Jewish Holidays"
"Parashat Vayeshev","5/12/2015",,,,"true","","3","Jewish Holidays"
"Chanukah: 1 Candle","6/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","7/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","8/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","9/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","10/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","11/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Miketz","12/12/2015",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/12/2015",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","13/12/2015",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","13/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","14/12/2015",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Vayigash","19/12/2015",,,,"true","","3","Jewish Holidays"
"Asara B'Tevet","22/12/2015",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Parashat Vayechi","26/12/2015",,,,"true","","3","Jewish Holidays"
"Parashat Shemot","2/1/2016",,,,"true","","3","Jewish Holidays"
"Parashat Vaera","9/1/2016",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","11/1/2016",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Parashat Bo","16/1/2016",,,,"true","","3","Jewish Holidays"
"Parashat Beshalach","23/1/2016",,,,"true","","3","Jewish Holidays"
"Tu BiShvat","25/1/2016",,,,"true","New Year for Trees","3","Jewish Holidays"
"Parashat Yitro","30/1/2016",,,,"true","","3","Jewish Holidays"
"Parashat Mishpatim","6/2/2016",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Adar I","9/2/2016",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar I","10/2/2016",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Parashat Terumah","13/2/2016",,,,"true","","3","Jewish Holidays"
"Parashat Tetzaveh","20/2/2016",,,,"true","","3","Jewish Holidays"
"Purim Katan","23/2/2016",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Parashat Ki Tisa","27/2/2016",,,,"true","","3","Jewish Holidays"
"Parashat Vayakhel","5/3/2016",,,,"true","","3","Jewish Holidays"
"Shabbat Shekalim","5/3/2016",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","10/3/2016",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","11/3/2016",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Parashat Pekudei","12/3/2016",,,,"true","","3","Jewish Holidays"
"Parashat Vayikra","19/3/2016",,,,"true","","3","Jewish Holidays"
"Shabbat Zachor","19/3/2016",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","23/3/2016",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","23/3/2016",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","24/3/2016",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","25/3/2016",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Parashat Tzav","26/3/2016",,,,"true","","3","Jewish Holidays"
"Parashat Shmini","2/4/2016",,,,"true","","3","Jewish Holidays"
